id,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg),meal_type
179,daging burung bagian kepala,619,14,9.8,0,0,2.2,41,20,0,0.05,0.12,0.13,3,0,38,95,7,10,94,0.7,0.9,Makan Malam
180,daging burung mentah,1410,19,28.4,0,0,3.7,84,63,1,0.17,0.27,0.18,6,0,59,204,11,16,156,2.7,1.9,Makan Malam
181,daging domba,1125,24.9,18,0,0,0.7,75,0,0,0.08,0.15,0.33,6,0,53,340,4,23,194,1.7,4.1,Makan Malam
182,daging itik bagian kepala,732,9.9,14.8,0,0,1.9,44,33,1,0.09,0.14,0.09,3,0,31,106,6,8,81,1.4,1,Makan Malam
183,daging itik bagian paha,1059,14.3,21.3,0,0,2.8,63,47,1,0.13,0.2,0.14,5,0,44,153,8,12,117,2,1.4,Makan Malam
184,daging itik bagian sayap,732,9.9,14.8,0,0,1.9,44,33,1,0.09,0.14,0.09,3,0,31,106,6,8,81,1.4,1,Makan Malam
185,daging itik/bebek,1410,19,28.4,0,0,3.7,84,63,1,0.17,0.27,0.18,6,0,59,204,11,16,156,2.7,1.9,Makan Malam
186,daging kambing,1125,24.9,18,0,0,0.7,75,0,0,0.08,0.15,0.33,6,0,53,340,4,23,194,1.7,4.1,Makan Malam
187,daging kelelawar,1125,24.9,18,0,0,0.7,75,0,0,0.08,0.15,0.33,6,0,53,340,4,23,194,1.7,4.1,Makan Malam
188,daging kerbau,548,26.8,1.8,0,0,0.4,61,0,0,0.03,0.25,0.46,9,0,56,313,15,33,220,2.1,2.5,Makan Malam
189,daging menthok,1410,19,28.4,0,0,3.7,84,63,1,0.17,0.27,0.18,6,0,59,204,11,16,156,2.7,1.9,Makan Malam
190,daging menthok bagian kaki,1410,19,28.4,0,0,3.7,84,63,1,0.17,0.27,0.18,6,0,59,204,11,16,156,2.7,1.9,Makan Malam
191,daging menthok bagian kepala,732,9.9,14.8,0,0,1.9,44,33,1,0.09,0.14,0.09,3,0,31,106,6,8,81,1.4,1,Makan Malam
192,daging menthok bagian sayap,732,9.9,14.8,0,0,1.9,44,33,1,0.09,0.14,0.09,3,0,31,106,6,8,81,1.4,1,Makan Malam
193,daging merpati,870,28.1,9.7,0,0,2.5,82,0,0,0.06,0.18,0.41,7,0,68,280,26,25,203,1.8,3,Makan Malam
194,daging puyuh,870,28.1,9.7,0,0,2.5,82,0,0,0.06,0.18,0.41,7,0,68,280,26,25,203,1.8,3,Makan Malam
195,daging sapi,1125,24.9,18,0,0,0.7,75,0,0,0.08,0.15,0.33,6,0,53,340,4,23,194,1.7,4.1,Makan Malam
196,daging tupai,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
197,dendeng sapi,4506,103.3,70.7,0,0,2.8,305,0,0,0.31,0.6,1.36,25,0,220,1407,18,95,805,7,16.7,Makan Malam
198,dideh ayam,607,25.1,4.2,0,0,0.3,347,0,0,0.05,0.3,0.04,4,50,57,284,12,19,305,39.4,2.8,Makan Malam
199,dideh itik,485,20.1,3.4,0,0,0.2,278,0,0,0.04,0.24,0.03,3,40,46,227,10,15,244,31.5,2.2,Makan Malam
200,dideh kambing,485,20.1,3.4,0,0,0.2,278,0,0,0.04,0.24,0.03,3,40,46,227,10,15,244,31.5,2.2,Makan Malam
201,dideh kerbau,485,20.1,3.4,0,0,0.2,278,0,0,0.04,0.24,0.03,3,40,46,227,10,15,244,31.5,2.2,Makan Malam
202,dideh sapi,607,25.1,4.2,0,0,0.3,347,0,0,0.05,0.3,0.04,4,50,57,284,12,19,305,39.4,2.8,Makan Malam
203,hati ayam,657,24.4,5.5,0.9,0,0.9,631,11325,0,0.36,2.7,0.4,590,23,51,140,14,21,312,8.5,4.3,Makan Malam
204,hati biawak,674,24.4,4.9,3.4,0,1.1,389,20357,0,0.18,3.6,0.52,290,15,70,235,7,20,404,6.8,6.1,Makan Malam
205,hati burung,657,24.4,5.5,0.9,0,0.9,631,11325,0,0.36,2.7,0.4,590,23,51,140,14,21,312,8.5,4.3,Makan Malam
206,hati itik,657,24.4,5.5,0.9,0,0.9,631,11325,0,0.36,2.7,0.4,590,23,51,140,14,21,312,8.5,4.3,Makan Malam
207,hati itik bacem,657,24.4,5.5,0.9,0,0.9,631,11325,0,0.36,2.7,0.4,590,23,51,140,14,21,312,8.5,4.3,Makan Malam
208,hati kerbau,674,24.4,4.9,3.4,0,1.1,389,20357,0,0.18,3.6,0.52,290,15,70,235,7,20,404,6.8,6.1,Makan Malam
209,hati menthok,657,24.4,5.5,0.9,0,0.9,631,11325,0,0.36,2.7,0.4,590,23,51,140,14,21,312,8.5,4.3,Makan Malam
210,hati merpati,657,24.4,5.5,0.9,0,0.9,631,11325,0,0.36,2.7,0.4,590,23,51,140,14,21,312,8.5,4.3,Makan Malam
211,hati sapi,674,24.4,4.9,3.4,0,1.1,389,20357,0,0.18,3.6,0.52,290,15,70,235,7,20,404,6.8,6.1,Makan Malam
212,iso sapi mentah usus,393,14.1,3.8,0,0,0.2,35,0,0,0.05,0.08,0.19,4,0,30,192,3,13,110,1,2.3,Makan Malam
213,jangkrik,1146,18.2,21.5,2,0,2.6,75,1,0,0.67,0.23,0.3,3,2,55,545,90,62,424,2.5,8.4,Makan Malam
214,jantung ayam mentah,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
215,jantung itik,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
216,jantung menthok,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
217,jantung merpati,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
218,jerohan ayam,393,14.1,3.8,0,0,0.2,35,0,0,0.05,0.08,0.19,4,0,30,192,3,13,110,1,2.3,Makan Malam
219,jerohan menthok,393,14.1,3.8,0,0,0.2,35,0,0,0.05,0.08,0.19,4,0,30,192,3,13,110,1,2.3,Makan Malam
220,kaldu ayam,33,0.5,0.3,0.8,0,0,0,0,0,0,0.01,0.01,1,0,560,15,2,2,11,0.1,0,Makan Malam
221,kikil kambing mentah,293,6.5,4.7,0,0,0.2,20,0,0,0.02,0.04,0.09,2,0,14,88,1,6,50,0.4,1.1,Makan Malam
222,kodok hijau,410,20.1,1.4,0,0,0.3,46,0,0,0.02,0.19,0.35,7,0,42,235,11,25,165,1.6,1.9,Makan Malam
223,kuah daging kambing belu,63,1,1.2,0,0,0,3,0,0,0,0.01,0.01,0,0,2,13,0,1,8,0.1,0.2,Makan Malam
224,kulit daging itik,1410,19,28.4,0,0,3.7,84,63,1,0.17,0.27,0.18,6,0,59,204,11,16,156,2.7,1.9,Makan Malam
225,laron,1146,18.2,21.5,2,0,2.6,75,1,0,0.67,0.23,0.3,3,2,55,545,90,62,424,2.5,8.4,Makan Malam
226,limfa ayam,607,25.1,4.2,0,0,0.3,347,0,0,0.05,0.3,0.04,4,50,57,284,12,19,305,39.4,2.8,Makan Malam
227,limfa sapi,607,25.1,4.2,0,0,0.3,347,0,0,0.05,0.3,0.04,4,50,57,284,12,19,305,39.4,2.8,Makan Malam
228,otak,669,11.1,12.5,0,0,1.4,2054,0,2,0.08,0.17,0.24,7,1,120,240,9,14,352,2.2,1.3,Makan Malam
229,otak ayam,669,11.1,12.5,0,0,1.4,2054,0,2,0.08,0.17,0.24,7,1,120,240,9,14,352,2.2,1.3,Makan Malam
230,rambak mentah,1594,24.1,30.9,0,0,1.2,87,0,0,0.07,0.14,0.32,6,0,51,328,4,22,188,1.6,3.9,Makan Malam
231,rempelo ayam,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
232,rempelo burung,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
233,rempelo itik,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
234,rempelo menthok,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
235,rempelo merpati,695,29,4.7,0,0,0.2,69,0,0,0.09,0.17,0.38,7,0,62,395,5,27,226,2,4.7,Makan Malam
236,sate ayam,1314,25.6,23,0,0,4.1,75,37,0,0.09,0.23,0.24,5,0,69,173,12,19,171,1.3,1.7,Makan Malam
237,sate cekek,1695,22.9,34.4,0,0,1.2,83,0,0,0.07,0.13,0.3,6,0,48,312,4,21,179,1.5,3.7,Makan Malam
238,sayur sop ayam,301,5.9,3.8,3.4,0.7,0.9,16,232,0,0.04,0.06,0.12,11,4,23,118,14,9,48,0.5,0.4,Makan Malam
239,semur daging,925,11.1,16.2,15.5,1.9,9.3,0,209,1,0.29,0.14,0.24,142,16,13,488,61,65,146,2.1,1.1,Makan Malam
240,semur daging ayam belu,1920,10.8,47.6,0,0,2.4,32,16,0,0.04,0.1,0.1,2,0,29,73,5,8,72,0.6,0.7,Makan Malam
241,tepung ikan teri,1569,65.6,10.5,0,0,2.2,64,0,0,0.11,0.3,0.46,31,0,349,1067,1904,157,1456,2.8,5.8,Makan Malam
242,terasi merah,439,18.5,2.9,0,0,0.6,72,15,2,0.23,0.07,0.11,10,1,824,419,12,28,304,0.4,0.6,Makan Malam
243,tumis ikan teri,423,14.8,4.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Malam
244,undur-undur,222,11.4,0.5,0,0,0.2,28,7,1,0.05,0.04,0.14,6,1,39,122,7,21,69,0.3,0.3,Makan Malam
245,udang segar,331,16.7,0.9,0,0,0.3,156,51,3,0.02,0.02,0.1,3,2,179,146,31,27,110,2.5,1.3,Makan Malam
246,udang kering,1280,66.4,2.5,0,0,0.8,160,0,0,0.1,0.11,0.82,35,0,227,710,41,122,402,1.4,1.7,Makan Malam
247,cakalang,439,18.5,2.9,0,0,0.6,72,15,2,0.23,0.07,0.11,10,1,50,419,11,28,304,0.4,0.6,Makan Malam
248,cumi-cumi segar,615,25,2.2,5,0,0.8,373,8,1,0.03,0.66,0.09,3,7,70,394,51,53,354,1.1,2.5,Makan Malam
249,hati ikan bojor,657,24.4,5.5,0.9,0,0.9,631,11325,0,0.36,2.7,0.4,590,23,51,140,14,21,312,8.5,4.3,Makan Siang
250,ikan asin belanak,1025,53.1,2,0,0,0.6,128,0,0,0.08,0.09,0.66,28,0,2893,569,36,98,322,1.1,1.4,Makan Siang
251,ikan asin bilis,1025,53.1,2,0,0,0.6,128,0,0,0.08,0.09,0.66,28,0,2893,569,36,98,322,1.1,1.4,Makan Siang
252,ikan asin gabus,1025,53.1,2,0,0,0.6,128,0,0,0.08,0.09,0.66,28,0,2893,569,36,98,322,1.1,1.4,Makan Siang
253,ikan asin goreng,678,13,12,0,0,6.2,50,11,2,0.16,0.05,0.08,7,1,35,293,8,20,213,0.3,0.4,Makan Siang
254,ikan asin japuh,665,16.3,10.4,0,0,1.7,40,27,0,0,0.14,0.46,8,0,2072,296,28,26,192,0.8,0.4,Makan Siang
255,ikan asin juwi,1025,53.1,2,0,0,0.6,128,0,0,0.08,0.09,0.66,28,0,2893,569,36,98,322,1.1,1.4,Makan Siang
256,ikan asin kacangan,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,1998,195,13,34,110,0.4,0.5,Makan Siang
257,ikan asin kembung,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,1991,461,50,86,228,0.9,0.4,Makan Siang
258,ikan asin kering,1280,66.4,2.5,0,0,0.8,160,0,0,0.1,0.11,0.82,35,0,2938,711,44,122,402,1.4,1.7,Makan Siang
259,ikan asin layur,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,1998,195,13,34,110,0.4,0.5,Makan Siang
260,ikan asin pari,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
261,ikan asin pepetek,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,1976,335,11,22,243,0.3,0.5,Makan Siang
262,ikan asin selar,678,22.9,7.2,0,0,1.8,84,9,2,0.42,0.07,0.22,7,2,2774,428,55,38,531,1.6,1.9,Makan Siang
263,ikan asin serinding,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,1998,195,13,34,110,0.4,0.5,Makan Siang
264,ikan asin terbang,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,1998,195,13,34,110,0.4,0.5,Makan Siang
265,ikan asin teri,1402,58.6,9.4,0,0,2,57,0,0,0.1,0.27,0.41,28,0,1861,953,1702,140,1300,2.5,5.2,Makan Siang
266,ikan asin terongan,1025,53.1,2,0,0,0.6,128,0,0,0.08,0.09,0.66,28,0,2893,569,36,98,322,1.1,1.4,Makan Siang
267,ikan asin wader / memreng,1025,53.1,2,0,0,0.6,128,0,0,0.08,0.09,0.66,28,0,2893,569,36,98,322,1.1,1.4,Makan Siang
268,ikan awu-awu bakar,310,13,2,0,0,0.4,50,11,1,0.16,0.05,0.08,7,1,35,293,8,20,213,0.3,0.4,Makan Siang
269,ikan baleng segar,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
270,ikan bambangan,439,22.8,0.9,0,0,0.3,55,14,1,0.09,0.08,0.28,12,1,78,244,14,42,138,0.5,0.6,Makan Siang
271,ikan bandeng,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
272,ikan banyara goreng,678,13,12,0,0,6.2,50,11,2,0.16,0.05,0.08,7,1,35,293,8,20,213,0.3,0.4,Makan Siang
273,ikan banyara sedang mentah,222,9.3,1.5,0,0,0.3,36,8,1,0.12,0.04,0.06,5,1,25,210,6,14,152,0.2,0.3,Makan Siang
274,ikan bawal,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
275,ikan belanak,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
276,ikan bethik,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
277,ikan bojor segar,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
278,ikan boso mentah,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
279,ikan cepa-cepa goreng,678,13,12,0,0,6.2,50,11,2,0.16,0.05,0.08,7,1,35,293,8,20,213,0.3,0.4,Makan Siang
280,ikan cue,310,13,2,0,0,0.4,50,11,1,0.16,0.05,0.08,7,1,35,293,8,20,213,0.3,0.4,Makan Siang
281,ikan cumi basah goreng,1138,26,12.3,12.6,0.3,6.6,373,8,1,0.04,0.66,0.09,5,7,71,404,53,55,364,1.2,2.6,Makan Siang
282,ikan dares mentah,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
283,ikan gabus kering,1025,53.1,2,0,0,0.6,128,0,0,0.08,0.09,0.66,28,0,182,568,33,98,322,1.1,1.4,Makan Siang
284,ikan gabus segar,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
285,ikan goreng,669,13,12,0,0,0.6,50,11,2,0.16,0.05,0.08,7,1,35,293,8,20,213,0.3,0.4,Makan Siang
286,ikan hiu,586,26.7,2.9,0,0,0.9,41,54,1,0.07,0.09,0.4,14,0,69,576,60,107,285,1.1,0.5,Makan Siang
287,ikan jempol,586,26.7,2.9,0,0,0.9,41,54,1,0.07,0.09,0.4,14,0,69,576,60,107,285,1.1,0.5,Makan Siang
288,ikan juwi,222,11.4,0.5,0,0,0.2,28,7,1,0.05,0.04,0.14,6,1,39,122,7,21,69,0.3,0.3,Makan Siang
289,ikan kacangan,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
290,ikan kacap,1059,13.5,22,0.3,0,12,50,11,3,0.16,0.06,0.09,8,1,314,304,9,22,219,0.4,0.4,Makan Siang
291,ikan kakap,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
292,ikan kating,665,16.3,10.4,0,0,1.7,40,27,0,0,0.14,0.46,8,0,136,296,26,26,192,0.8,0.4,Makan Siang
293,ikan kembung,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
294,ikan kembung goreng,845,16,15,0,0,7.1,59,6,2,0.29,0.05,0.15,5,1,44,299,36,27,372,1.1,1.3,Makan Siang
295,ikan kiper mentah,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
296,ikan kuah rebus belu,222,9.3,1.5,0,0,0.3,36,8,1,0.12,0.04,0.06,5,1,25,210,6,14,152,0.2,0.3,Makan Siang
297,ikan lawes,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
298,ikan layang,343,17.8,0.7,0,0,0.2,43,11,1,0.07,0.06,0.22,9,1,61,190,11,33,108,0.4,0.5,Makan Siang
299,ikan lele,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
300,ikan lele dumbo,665,16.3,10.4,0,0,1.7,40,27,0,0,0.14,0.46,8,0,136,296,26,26,192,0.8,0.4,Makan Siang
301,ikan lemuru,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
302,ikan lukas mentah,586,26.7,2.9,0,0,0.9,41,54,1,0.07,0.09,0.4,14,0,69,576,60,107,285,1.1,0.5,Makan Siang
303,ikan luthok,665,16.3,10.4,0,0,1.7,40,27,0,0,0.14,0.46,8,0,136,296,26,26,192,0.8,0.4,Makan Siang
304,ikan mas bumbu kuning,912,16.7,15.7,2.9,1.7,7.3,59,11,2,0.31,0.06,0.21,19,2,47,376,60,39,389,2.6,1.5,Makan Siang
305,ikan mas goreng,845,16,15,0,0,7.1,59,6,2,0.29,0.05,0.15,5,1,44,299,36,27,372,1.1,1.3,Makan Siang
306,ikan mas pepes,339,11.5,3.6,0,0,0.9,42,5,1,0.21,0.04,0.11,4,1,32,214,26,19,266,0.8,1,Makan Siang
307,ikan mas segar,544,18.3,5.8,0,0,1.4,67,7,2,0.34,0.06,0.18,6,2,50,342,42,30,425,1.3,1.5,Makan Siang
308,ikan merah kecil,1770,58.6,19.4,0,0,7.8,57,0,1,0.1,0.27,0.41,28,0,312,953,1700,140,1300,2.5,5.2,Makan Siang
309,ikan moto botor,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
310,ikan mujair dendeng mentah,1402,58.6,9.4,0,0,2,57,0,0,0.1,0.27,0.41,28,0,312,953,1700,140,1300,2.5,5.2,Makan Siang
311,ikan mujair segar,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
312,ikan muntreng segar,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
313,ikan pe,222,9.3,1.5,0,0,0.3,36,8,1,0.12,0.04,0.06,5,1,25,210,6,14,152,0.2,0.3,Makan Siang
314,ikan peda asin banjar,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,1991,461,50,86,228,0.9,0.4,Makan Siang
315,ikan peda banjar,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,1991,461,50,86,228,0.9,0.4,Makan Siang
316,ikan pepetek,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
317,ikan pindang banjar,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,1991,461,50,86,228,0.9,0.4,Makan Siang
318,ikan pindang benggol,439,22.8,0.9,0,0,0.3,55,14,1,0.09,0.08,0.28,12,1,2789,245,17,42,138,0.5,0.6,Makan Siang
319,ikan pindang juwi,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,1991,461,50,86,228,0.9,0.4,Makan Siang
320,ikan pindang kembung,586,26.7,2.9,0,0,0.9,41,54,1,0.07,0.09,0.4,14,0,1618,576,62,107,285,1.1,0.5,Makan Siang
321,ikan pindang layang,439,22.8,0.9,0,0,0.3,55,14,1,0.09,0.08,0.28,12,1,2789,245,17,42,138,0.5,0.6,Makan Siang
322,ikan pindang layang goreng,1159,22.8,20.9,0,0,0.7,55,14,1,0.09,0.08,0.28,12,1,2789,245,17,42,138,0.5,0.6,Makan Siang
323,ikan pindang selar kecil,586,26.7,2.9,0,0,0.9,41,54,1,0.07,0.09,0.4,14,0,69,576,60,107,285,1.1,0.5,Makan Siang
324,ikan rebon kering,1280,66.4,2.5,0,0,0.8,160,0,0,0.1,0.11,0.82,35,0,227,710,41,122,402,1.4,1.7,Makan Siang
325,ikan rebon segar,331,16.7,0.9,0,0,0.3,156,51,3,0.02,0.02,0.1,3,2,179,146,31,27,110,2.5,1.3,Makan Siang
326,ikan salem segar,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
327,ikan sasi segar,293,13.4,1.5,0,0,0.5,21,27,1,0.04,0.05,0.2,7,0,35,288,30,54,143,0.6,0.3,Makan Siang
328,ikan segar,410,18.1,2.4,0,0,0.6,45,28,1,0.12,0.07,0.2,10,0,48,398,28,54,236,0.6,0.4,Makan Siang
329,ikan selar kering,678,22.9,7.2,0,0,1.8,84,9,2,0.42,0.07,0.22,7,2,63,427,52,38,531,1.6,1.9,Makan Siang
330,ikan selar segar,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
331,ikan sepat kering,1046,29.5,13.8,0,0,6.1,170,80,0,0.05,0.43,0.58,10,0,780,516,660,62,624,3.5,3.6,Makan Siang
332,ikan sepat segar,544,18.3,5.8,0,0,1.4,67,7,2,0.34,0.06,0.18,6,2,50,342,42,30,425,1.3,1.5,Makan Siang
333,ikan sidat,791,19,12,0,0,1,129,909,4,0.14,0.04,0.06,8,0,52,279,21,21,222,0.5,1.7,Makan Siang
334,ikan surung,351,18.2,0.7,0,0,0.2,44,11,1,0.07,0.06,0.22,10,1,62,195,11,34,110,0.4,0.5,Makan Siang
335,ikan tawes/ bader,665,16.3,10.4,0,0,1.7,40,27,0,0,0.14,0.46,8,0,136,296,26,26,192,0.8,0.4,Makan Siang
336,ikan tempel mentah,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
337,ikan tengiri,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
338,ikan teri asin kering,1402,58.6,9.4,0,0,2,57,0,0,0.1,0.27,0.41,28,0,3023,954,1703,140,1300,2.5,5.2,Makan Siang
339,ikan teri bubuk,1569,65.6,10.5,0,0,2.2,64,0,0,0.11,0.3,0.46,31,0,349,1067,1904,157,1456,2.8,5.8,Makan Siang
340,ikan teri goreng belu,1761,58.6,19.4,0,0,2.2,57,0,0,0.1,0.27,0.41,28,0,312,953,1700,140,1300,2.5,5.2,Makan Siang
341,ikan teri nasi kering,1402,58.6,9.4,0,0,2,57,0,0,0.1,0.27,0.41,28,0,312,953,1700,140,1300,2.5,5.2,Makan Siang
342,ikan teri segar,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
343,ikan teri tawar kering,1402,58.6,9.4,0,0,2,57,0,0,0.1,0.27,0.41,28,0,312,953,1700,140,1300,2.5,5.2,Makan Siang
344,ikan terongan,469,21.4,2.3,0,0,0.7,33,43,1,0.06,0.07,0.32,11,0,55,461,48,86,228,0.9,0.4,Makan Siang
345,ikan tongkol,464,24,1,0,0,0.3,46,16,1,0.4,0.05,0.28,3,0,38,190,17,22,196,0.7,0.6,Makan Siang
346,ikan tongkol pindang,464,24,1,0,0,0.3,46,16,1,0.4,0.05,0.28,3,0,1974,190,19,22,196,0.7,0.6,Makan Siang
347,ikan wader,351,14.8,2.3,0,0,0.5,58,12,2,0.18,0.06,0.09,8,1,40,335,9,22,243,0.3,0.5,Makan Siang
348,ikan wedok,665,16.3,10.4,0,0,1.7,40,27,0,0,0.14,0.46,8,0,136,296,26,26,192,0.8,0.4,Makan Siang
349,ikan wedok kering,1121,46.9,7.5,0,0,1.6,46,0,0,0.08,0.22,0.33,22,0,250,762,1360,112,1040,2,4.2,Makan Siang
350,kepiting air tawar / yuyu,377,16.9,2,0,0,0.4,153,137,3,0.03,0.02,0.1,4,1,166,159,30,26,121,2.2,1.4,Makan Siang
351,kepiting laut,364,16.5,1.3,1.2,0,0.5,145,46,3,0.04,0.07,0.1,6,2,177,160,29,28,122,3.2,5.1,Makan Siang
352,kerang,431,14.3,2.7,4.4,0,0.7,34,32,1,0.01,0.23,0.04,8,0,221,161,20,22,171,4,1.6,Makan Siang
353,samba goreng sarden belu,205,2.8,3.7,1.7,0.4,0.3,6,35,0,0.02,0.04,0.1,7,7,24,124,6,8,37,0.3,0.1,Makan Siang
354,setrup / sirup,895,0,0,55.5,0,0,0,0,0,0.01,0.01,0.02,1,0,22,197,48,17,13,1.1,0.1,Cemilan
355,tebu,109,0,0,6.8,0,0,0,0,0,0,0,0,0,0,3,24,6,2,2,0.1,0,Cemilan
356,adonan kopi + gula pasir,1494,1.6,0,90.3,0,0,0,0,0,0,0.02,0,0,0,49,578,49,64,50,1.7,0,Cemilan
357,air gula - belu,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cemilan
358,teh manis belu,54,0,0,3.4,0,0,0,0,0,0,0,0,0,0,3,20,2,2,1,0,0,Cemilan
359,daun cincau,138,2.5,0.5,5.3,3.5,0.3,0,83,0,0.13,0.08,0.1,140,10,23,395,48,23,50,1.3,0.5,Cemilan
360,gula kopi,1494,1.6,0,90.3,0,0,0,0,0,0,0.02,0,0,0,49,578,49,64,50,1.7,0,Cemilan
361,jamu,4,0.1,0,0.1,0.1,0,0,2,0,0,0,0,3,0,0,8,1,0,1,0,0,Cemilan
362,jus alpukat susu,397,1.3,4.8,13,1.5,0.5,4,15,0,0.04,0.07,0.09,17,2,16,185,32,13,33,0.3,0.2,Sarapan
